LAST SEEN   TYPE      REASON                         OBJECT                                                                MESSAGE
40m         Normal    Scheduled                      pod/k6-auth-test-spike-auth-service-h3-spike-rep1-srtx2               Successfully assigned ecommerce/k6-auth-test-spike-auth-service-h3-spike-rep1-srtx2 to aks-userpool-16719200-vmss00000h
18m         Normal    Scheduled                      pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-4phpq   Successfully assigned ecommerce/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-4phpq to aks-userpool-16719200-vmss00000h
49m         Warning   BackoffLimitExceeded           job/k6-auth-test-gradual-auth-service-h3-gradual-rep1                 Job has reached the specified backoff limit
44m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/auth-service-hpa-custom                       unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
40m         Normal    Pulling                        pod/k6-auth-test-spike-auth-service-h3-spike-rep1-srtx2               Pulling image "grafana/k6:latest"
40m         Normal    SuccessfulCreate               job/k6-auth-test-spike-auth-service-h3-spike-rep1                     Created pod: k6-auth-test-spike-auth-service-h3-spike-rep1-srtx2
40m         Normal    Pulled                         pod/k6-auth-test-spike-auth-service-h3-spike-rep1-srtx2               Successfully pulled image "grafana/k6:latest" in 1.461s (1.461s including waiting). Image size: 36750082 bytes.
40m         Normal    Created                        pod/k6-auth-test-spike-auth-service-h3-spike-rep1-srtx2               Created container: k6
40m         Normal    Started                        pod/k6-auth-test-spike-auth-service-h3-spike-rep1-srtx2               Started container k6
39m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/auth-service-hpa-custom                       invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
30m         Normal    Started                        pod/auth-service-b78f95fd4-tzz2x                                      Started container auth-service
27m         Warning   BackoffLimitExceeded           job/k6-auth-test-spike-auth-service-h3-spike-rep1                     Job has reached the specified backoff limit
22m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/auth-service-hpa-custom                       unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
18m         Normal    Pulling                        pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-4phpq   Pulling image "grafana/k6:latest"
18m         Normal    SuccessfulCreate               job/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1         Created pod: k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-4phpq
18m         Normal    Pulled                         pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-4phpq   Successfully pulled image "grafana/k6:latest" in 1.438s (1.438s including waiting). Image size: 36750082 bytes.
18m         Normal    Created                        pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-4phpq   Created container: k6
18m         Normal    Started                        pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-4phpq   Started container k6
17m         Warning   Unhealthy                      pod/auth-service-b78f95fd4-tzz2x                                      Liveness probe failed: Get "http://10.244.2.200:8001/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
17m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/auth-service-hpa-custom                       invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
13m         Normal    Created                        pod/auth-service-b78f95fd4-tzz2x                                      Created container: auth-service
13m         Normal    Pulled                         pod/auth-service-b78f95fd4-tzz2x                                      Container image "ecommerce.azurecr.io/auth-service:latest" already present on machine
10m         Normal    Killing                        pod/auth-service-b78f95fd4-tzz2x                                      Container auth-service failed liveness probe, will be restarted
7m50s       Warning   Unhealthy                      pod/auth-service-b78f95fd4-tzz2x                                      Readiness probe failed: Get "http://10.244.2.200:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
5m32s       Warning   BackoffLimitExceeded           job/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1         Job has reached the specified backoff limit
34s         Warning   FailedGetPodsMetric            horizontalpodautoscaler/auth-service-hpa-custom                       unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
