LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
18m         Normal    Scheduled              pod/product-service-75f4ddbd56-gggmn                                  Successfully assigned ecommerce/product-service-75f4ddbd56-gggmn to aks-userpool-16719200-vmss00000h
18m         Normal    Scheduled              pod/product-service-75f4ddbd56-trqkq                                  Successfully assigned ecommerce/product-service-75f4ddbd56-trqkq to aks-userpool-16719200-vmss00000h
18m         Normal    Scheduled              pod/product-service-75f4ddbd56-mrtfl                                  Successfully assigned ecommerce/product-service-75f4ddbd56-mrtfl to aks-userpool-16719200-vmss00000h
18m         Normal    Scheduled              pod/product-service-75f4ddbd56-l297w                                  Successfully assigned ecommerce/product-service-75f4ddbd56-l297w to aks-userpool-16719200-vmss00000h
37m         Normal    Scheduled              pod/product-service-75f4ddbd56-h9d95                                  Successfully assigned ecommerce/product-service-75f4ddbd56-h9d95 to aks-userpool-16719200-vmss00000f
34m         Normal    Scheduled              pod/k6-load-test-gradual-product-service-b2-gradual-rep1-6q65w        Successfully assigned ecommerce/k6-load-test-gradual-product-service-b2-gradual-rep1-6q65w to aks-userpool-16719200-vmss00000f
15m         Normal    Scheduled              pod/k6-load-test-spike-product-service-b2-spike-rep1-mzprq            Successfully assigned ecommerce/k6-load-test-spike-product-service-b2-spike-rep1-mzprq to aks-userpool-16719200-vmss00000f
56m         Normal    Scheduled              pod/k6-load-test-oscillating-product-service-b1-oscillating-re8blxg   Successfully assigned ecommerce/k6-load-test-oscillating-product-service-b1-oscillating-re8blxg to aks-userpool-16719200-vmss00000h
37m         Normal    Scheduled              pod/product-service-75f4ddbd56-9xj72                                  Successfully assigned ecommerce/product-service-75f4ddbd56-9xj72 to aks-userpool-16719200-vmss00000h
37m         Normal    Scheduled              pod/product-service-75f4ddbd56-5zh86                                  Successfully assigned ecommerce/product-service-75f4ddbd56-5zh86 to aks-userpool-16719200-vmss00000h
37m         Normal    Scheduled              pod/product-service-75f4ddbd56-xdd7x                                  Successfully assigned ecommerce/product-service-75f4ddbd56-xdd7x to aks-userpool-16719200-vmss00000h
56m         Normal    Pulling                pod/k6-load-test-oscillating-product-service-b1-oscillating-re8blxg   Pulling image "grafana/k6:latest"
56m         Normal    SuccessfulCreate       job/k6-load-test-oscillating-product-service-b1-oscillating-rep1      Created pod: k6-load-test-oscillating-product-service-b1-oscillating-re8blxg
56m         Normal    Started                pod/k6-load-test-oscillating-product-service-b1-oscillating-re8blxg   Started container k6
56m         Normal    Created                pod/k6-load-test-oscillating-product-service-b1-oscillating-re8blxg   Created container: k6
56m         Normal    Pulled                 pod/k6-load-test-oscillating-product-service-b1-oscillating-re8blxg   Successfully pulled image "grafana/k6:latest" in 1.436s (1.436s including waiting). Image size: 36750082 bytes.
47m         Warning   Unhealthy              pod/product-service-75f4ddbd56-6nv6h                                  Readiness probe failed: Get "http://10.244.2.80:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
44m         Warning   BackoffLimitExceeded   job/k6-load-test-oscillating-product-service-b1-oscillating-rep1      Job has reached the specified backoff limit
